"disease","state","year","weeks_reporting","count","population","raw_rate","rate"
"Hepatitis A","Alabama",1966,50,321,3345787,9.59415527647158,9.97792148753044
"Hepatitis A","Alabama",1967,49,291,3364130,8.650081893387,9.17967874400253
"Hepatitis A","Alabama",1968,52,314,3386068,9.27329279860889,9.27329279860889
"Hepatitis A","Alabama",1969,49,380,3412450,11.1356942958871,11.8174714976761
"Hepatitis A","Alabama",1970,51,413,3444165,11.9912954228383,12.2264188625018
"Hepatitis A","Alabama",1971,51,378,3481798,10.8564597946234,11.0693315553022
"Hepatitis A","Alabama",1972,45,342,3524543,9.70338565879321,11.2128012057166
"Hepatitis A","Alabama",1973,45,467,3571209,13.0768039619076,15.1109734670932
"Hepatitis A","Alabama",1974,45,244,3620548,6.73931128657872,7.7876485978243
"Hepatitis A","Alabama",1975,46,286,3671246,7.79027066015189,8.80639292017171
"Hepatitis A","Alabama",1976,50,220,3721914,5.9109372220852,6.1473747109686
"Hepatitis A","Alabama",1977,43,206,3771085,5.46261884842161,6.60595767716101
"Hepatitis A","Alabama",1978,41,203,3817217,5.31801047726655,6.74479377604538
"Hepatitis A","Alabama",1979,47,257,3858703,6.66026900748775,7.36880826360347
"Hepatitis A","Alabama",1980,37,200,3893888,5.13625456099405,7.21851992355921
"Hepatitis A","Alabama",1981,40,138,3921581,3.51898889759003,4.57468556686704
"Hepatitis A","Alabama",1982,43,128,3942588,3.24659842722597,3.92611902827327
"Hepatitis A","Alabama",1983,43,178,3958271,4.49691291980766,5.43812725186043
"Hepatitis A","Alabama",1984,35,115,3970041,2.8966955253107,4.30366192331875
"Hepatitis A","Alabama",1985,22,37,3979341,0.929802195891229,2.19771428119745
"Hepatitis A","Alabama",1986,26,51,3987637,1.27895292374908,2.55790584749816
"Hepatitis A","Alabama",1987,36,81,3996407,2.0268205915964,2.92762974341702
"Hepatitis A","Alabama",1988,20,13,4007144,0.324420584835484,0.843493520572258
"Hepatitis A","Alabama",1989,32,56,4021358,1.39256440237353,2.26291715385698
"Hepatitis A","Alabama",1990,41,86,4040587,2.12840362056305,2.69943873827509
"Hepatitis A","Alabama",1991,38,39,4066003,0.959172927319532,1.31255242685831
"Hepatitis A","Alabama",1992,34,35,4097169,0.854248384677322,1.30649752950649
"Hepatitis A","Alabama",1993,27,40,4133242,0.967763319931424,1.86384046801608
"Hepatitis A","Alabama",1994,29,72,4173361,1.72522817939785,3.09351259754098
"Hepatitis A","Alabama",1995,38,75,4216645,1.77866526586896,2.43396299539962
"Hepatitis A","Alabama",1996,44,196,4262177,4.59858893706198,5.43469601652779
"Hepatitis A","Alabama",1997,26,40,4309007,0.928288118353022,1.85657623670604
"Hepatitis A","Alabama",1998,34,64,4356137,1.46919162551591,2.24699895667139
"Hepatitis A","Alabama",1999,35,52,4402529,1.18113929516421,1.75483552424397
"Hepatitis A","Alabama",2000,42,53,4447100,1.19178790672573,1.47554693213662
"Hepatitis A","Alabama",2001,41,66,4488959,1.47027406576892,1.86473783951181
"Hepatitis A","Alabama",2002,47,35,4528129,0.772946177107587,0.85517449382116
"Hepatitis A","Alabama",2003,47,14,4564878,0.306689466837887,0.339316005863194
"Hepatitis A","Alabama",2004,41,6,4599490,0.130449245459823,0.165447823510019
"Hepatitis A","Alabama",2005,47,34,4632262,0.733982663329492,0.812065925385821
"Hepatitis A","Alabama",2006,42,17,4663504,0.364532763347045,0.451326278429675
