"disease","year","nc_rate"
"Hepatitis A",1966,8.2370775426919
"Hepatitis A",1967,6.92127145594151
"Hepatitis A",1968,7.78657550308313
"Hepatitis A",1969,13.1649716068003
"Hepatitis A",1970,19.1801216404456
"Hepatitis A",1971,25.4862138575161
"Hepatitis A",1972,31.8283290108142
"Hepatitis A",1973,24.6690286685238
"Hepatitis A",1974,17.0546227238108
"Hepatitis A",1975,11.812814939946
"Hepatitis A",1976,8.92602627706962
"Hepatitis A",1977,7.96437445677907
"Hepatitis A",1978,6.22649958625878
"Hepatitis A",1979,8.09810476302862
"Hepatitis A",1980,6.2841946045052
"Hepatitis A",1981,4.2938899513514
"Hepatitis A",1982,2.64402375088764
"Hepatitis A",1983,2.50215148939364
"Hepatitis A",1984,2.16342082287708
"Hepatitis A",1985,1.82534285551037
"Hepatitis A",1986,1.95605219077845
"Hepatitis A",1987,2.83437404825832
"Hepatitis A",1988,7.99567883496696
"Hepatitis A",1989,6.81393054153348
"Hepatitis A",1990,9.91800533697307
"Hepatitis A",1991,2.53897510371635
"Hepatitis A",1992,1.66851676589528
"Hepatitis A",1993,1.51637464048136
"Hepatitis A",1994,2.11452689123675
"Hepatitis A",1995,1.55305895549047
"Hepatitis A",1996,2.93104966659984
"Hepatitis A",1997,2.50848693745035
"Hepatitis A",1998,1.65243220598499
"Hepatitis A",1999,2.19650759516422
"Hepatitis A",2000,1.96956666197294
"Hepatitis A",2001,3.12140219090501
"Hepatitis A",2002,2.5904442195236
"Hepatitis A",2003,1.52127225900611
"Hepatitis A",2004,1.26680020944296
"Hepatitis A",2005,0.980603655156956
"Hepatitis A",2006,1.16217634506267
"Hepatitis A",2007,0.774288902235369
"Hepatitis A",2008,0.742357139666073
"Hepatitis A",2009,0.429596568601756
"Hepatitis A",2010,0.596060097871556
"Hepatitis A",2011,0.284859538542718
"Measles",1928,1995.67430150539
"Measles",1929,42.901825211413
"Measles",1930,41.1320654731638
"Measles",1931,484.019948887779
"Measles",1932,417.455913041484
"Measles",1933,488.725990283414
"Measles",1934,1660.0612819117
"Measles",1935,336.738640813785
"Measles",1936,42.5713969807201
"Measles",1937,229.821842212344
"Measles",1938,1387.25943155319
"Measles",1939,673.887718207397
"Measles",1940,228.185244261969
"Measles",1941,708.710577489682
"Measles",1942,573.584633160023
"Measles",1943,181.329280118551
"Measles",1944,705.347698759102
"Measles",1945,73.0471820842147
"Measles",1946,216.734072538656
"Measles",1947,128.166598130434
"Measles",1948,31.6392914781015
"Measles",1949,440.1388396252
"Measles",1950,121.391179644247
"Measles",1951,86.4874925085609
"Measles",1952,98.0002249786213
"Measles",1953,119.717692860737
"Measles",1954,230.856986444164
"Measles",1955,31.5958785399372
"Measles",1956,179.94611362587
"Measles",1957,44.9056596934642
"Measles",1958,95.6305657799667
"Measles",1959,91.6894945220152
"Measles",1960,28.2817419512725
"Measles",1961,116.642846248143
"Measles",1962,21.1362561633223
"Measles",1963,34.8838546531612
"Measles",1964,29.5061025173429
"Measles",1965,8.74262666897578
"Measles",1966,16.3761958360187
"Measles",1967,19.2529763508934
"Measles",1968,6.80013601886505
"Measles",1969,7.58149515105222
"Measles",1970,20.3237062989241
"Measles",1971,38.3480453849893
"Measles",1972,0.751051130994977
