"disease","state","year","weeks_reporting","count","population","raw_rate","rate"
"Hepatitis A","North Carolina",1966,52,399,4843951,8.2370775426919,8.2370775426919
"Hepatitis A","North Carolina",1967,52,339,4897944,6.92127145594151,6.92127145594151
"Hepatitis A","North Carolina",1968,50,371,4955195,7.48709182988762,7.78657550308313
"Hepatitis A","North Carolina",1969,50,635,5016342,12.6586265450003,13.1649716068003
"Hepatitis A","North Carolina",1970,51,956,5082059,18.8112731473602,19.1801216404456
"Hepatitis A","North Carolina",1971,51,1288,5152805,24.9960943602562,25.4862138575161
"Hepatitis A","North Carolina",1972,47,1504,5228047,28.7679127597743,31.8283290108142
"Hepatitis A","North Carolina",1973,51,1284,5306964,24.1946242710521,24.6690286685238
"Hepatitis A","North Carolina",1974,49,866,5388688,16.0707021820525,17.0546227238108
"Hepatitis A","North Carolina",1975,51,634,5472289,11.5856454218701,11.812814939946
"Hepatitis A","North Carolina",1976,52,496,5556784,8.92602627706962,8.92602627706962
"Hepatitis A","North Carolina",1977,50,432,5641121,7.65805236228757,7.96437445677907
"Hepatitis A","North Carolina",1978,48,329,5724190,5.74753807962349,6.22649958625878
"Hepatitis A","North Carolina",1979,50,452,5804815,7.78663919521983,8.09810476302862
"Hepatitis A","North Carolina",1980,37,263,5881766,4.47144616089793,6.2841946045052
"Hepatitis A","North Carolina",1981,48,236,5954197,3.96359072432437,4.2938899513514
"Hepatitis A","North Carolina",1982,48,147,6023017,2.44063730851166,2.64402375088764
"Hepatitis A","North Carolina",1983,43,126,6089643,2.06908680853705,2.50215148939364
"Hepatitis A","North Carolina",1984,41,105,6155563,1.70577411034539,2.16342082287708
"Hepatitis A","North Carolina",1985,38,83,6222335,1.33390439441142,1.82534285551037
"Hepatitis A","North Carolina",1986,30,71,6291584,1.12849164852603,1.95605219077845
"Hepatitis A","North Carolina",1987,49,170,6365009,2.67085246855111,2.83437404825832
"Hepatitis A","North Carolina",1988,22,218,6444390,3.3827871994091,7.99567883496696
"Hepatitis A","North Carolina",1989,34,291,6531602,4.45526227715651,6.81393054153348
"Hepatitis A","North Carolina",1990,42,531,6628637,8.0106966183244,9.91800533697307
"Hepatitis A","North Carolina",1991,38,125,6737074,1.85540488348503,2.53897510371635
"Hepatitis A","North Carolina",1992,35,77,6856389,1.12304013089106,1.66851676589528
"Hepatitis A","North Carolina",1993,27,55,6985472,0.787348371019167,1.51637464048136
